symbol,entry_time,direction,entry,sl,tp,outcome,pnl_r,mfe_r,mae_r,duration_h,periodo
ETHUSDT,2023-04-02 09:00:00+00:00,long,1821.01,1809.7696,1849.111,sl,-1.0,0.022,1.068,3,2023
ETHUSDT,2023-04-03 10:00:00+00:00,long,1803.39,1786.8044,1844.854,sl,-1.0,2.207,1.712,10,2023
ETHUSDT,2023-04-12 15:00:00+00:00,long,1911.44,1886.4922,1973.8095,tp,2.5,2.748,0.752,17,2023
ETHUSDT,2023-04-23 15:00:00+00:00,short,1858.35,1875.6011,1815.2222,sl,-1.0,1.452,1.255,9,2023
ETHUSDT,2023-04-29 07:00:00+00:00,long,1901.25,1885.6231,1940.3172,sl,-1.0,1.025,1.289,10,2023
ETHUSDT,2023-05-03 14:00:00+00:00,short,1847.57,1863.7213,1807.1918,sl,-1.0,0.276,1.141,2,2023
ETHUSDT,2023-05-07 14:00:00+00:00,long,1926.95,1906.5452,1977.962,sl,-1.0,0.042,1.076,2,2023
ETHUSDT,2023-05-17 07:00:00+00:00,short,1806.76,1820.9067,1771.3933,sl,-1.0,1.821,1.077,10,2023
ETHUSDT,2023-05-18 15:00:00+00:00,short,1807.26,1821.2573,1772.2667,tp,2.5,2.662,0.355,2,2023
ETHUSDT,2023-05-21 08:00:00+00:00,short,1814.5,1822.5968,1794.258,tp,2.5,2.902,0.358,16,2023
ETHUSDT,2023-06-01 16:00:00+00:00,long,1875.69,1859.66,1915.765,sl,-1.0,0.265,1.261,3,2023
ETHUSDT,2023-06-04 07:00:00+00:00,long,1898.95,1889.5921,1922.3447,sl,-1.0,1.665,1.638,16,2023
ETHUSDT,2023-06-14 15:00:00+00:00,short,1739.96,1750.7512,1712.982,tp,2.5,10.607,0.652,5,2023
ETHUSDT,2023-06-20 13:00:00+00:00,short,1722.7,1736.6598,1687.8006,sl,-1.0,0.654,1.784,3,2023
ETHUSDT,2023-06-23 15:00:00+00:00,long,1916.53,1881.03,2005.28,sl,-1.0,0.618,1.17,6,2023
ETHUSDT,2023-06-27 09:00:00+00:00,long,1874.61,1856.9786,1918.6885,sl,-1.0,2.158,1.358,17,2023
ETHUSDT,2023-06-29 10:00:00+00:00,long,1867.53,1851.8022,1906.8494,sl,-1.0,0.792,1.382,4,2023
ETHUSDT,2023-07-02 14:00:00+00:00,long,1925.2,1913.7351,1953.8623,sl,-1.0,0.193,3.633,1,2023
ETHUSDT,2023-07-06 07:00:00+00:00,long,1924.23,1910.0172,1959.7619,sl,-1.0,2.372,1.001,4,2023
ETHUSDT,2023-07-16 14:00:00+00:00,long,1939.4,1928.3754,1966.9614,sl,-1.0,0.151,1.034,4,2023
ETHUSDT,2023-07-20 07:00:00+00:00,long,1911.69,1897.8553,1946.2767,sl,-1.0,1.237,2.161,7,2023
ETHUSDT,2023-07-26 07:00:00+00:00,short,1852.39,1861.8179,1828.8201,sl,-1.0,0.582,1.212,9,2023
ETHUSDT,2023-08-06 09:00:00+00:00,short,1830.54,1836.3259,1816.0751,sl,-1.0,0.957,1.199,12,2023
ETHUSDT,2023-08-07 13:00:00+00:00,short,1827.49,1835.2955,1807.9763,tp,2.5,3.522,0.641,3,2023
ETHUSDT,2023-08-21 08:00:00+00:00,short,1671.72,1682.5206,1644.7185,sl,-1.0,1.247,1.093,6,2023
ETHUSDT,2023-08-24 14:00:00+00:00,short,1645.08,1665.0,1595.28,sl,-1.0,0.674,1.019,9,2023
ETHUSDT,2023-08-27 07:00:00+00:00,short,1647.81,1653.6,1633.3349,sl,-1.0,0.252,1.927,7,2023
ETHUSDT,2023-08-29 08:00:00+00:00,short,1644.45,1653.6324,1621.494,sl,-1.0,0.592,10.07,6,2023
ETHUSDT,2023-08-31 15:00:00+00:00,short,1688.1,1704.57,1646.925,tp,2.5,2.84,0.014,2,2023
ETHUSDT,2023-09-03 08:00:00+00:00,short,1631.39,1638.3703,1613.9393,sl,-1.0,0.178,1.307,4,2023
ETHUSDT,2023-09-06 07:00:00+00:00,short,1628.41,1636.7915,1607.4562,sl,-1.0,2.585,6.155,10,2023
ETHUSDT,2023-09-24 16:00:00+00:00,short,1590.36,1595.0935,1578.5263,sl,-1.0,0.194,2.237,1,2023
ETHUSDT,2023-09-26 15:00:00+00:00,short,1582.17,1592.0212,1557.5419,sl,-1.0,0.115,1.044,1,2023
ETHUSDT,2023-10-13 15:00:00+00:00,short,1538.76,1549.7793,1511.2117,sl,-1.0,0.029,2.389,5,2023
ETHUSDT,2023-10-25 14:00:00+00:00,long,1806.4,1778.8652,1875.237,sl,-1.0,0.441,1.005,3,2023
ETHUSDT,2023-10-30 08:00:00+00:00,long,1819.59,1784.47,1907.39,sl,-1.0,0.372,1.214,9,2023
ETHUSDT,2023-11-08 13:00:00+00:00,long,1889.64,1874.4121,1927.7097,tp,2.5,2.65,0.626,13,2023
ETHUSDT,2023-11-11 16:00:00+00:00,long,2086.57,2060.2479,2152.3753,sl,-1.0,0.027,1.18,4,2023
ETHUSDT,2023-11-13 10:00:00+00:00,long,2058.83,2037.2108,2112.8781,tp,2.5,2.829,0.871,6,2023
ETHUSDT,2023-11-15 14:00:00+00:00,long,2009.86,1986.0144,2069.474,tp,2.5,3.025,0.36,10,2023
ETHUSDT,2023-11-18 16:00:00+00:00,long,1964.49,1944.7742,2013.7795,sl,-1.0,0.384,1.039,9,2023
ETHUSDT,2023-11-19 15:00:00+00:00,long,1967.22,1949.12,2012.47,tp,2.5,2.72,0.067,8,2023
ETHUSDT,2023-11-22 09:00:00+00:00,long,2010.22,1982.0726,2080.5885,tp,2.5,2.635,0.24,10,2023
ETHUSDT,2023-12-13 15:00:00+00:00,long,2218.78,2189.2769,2292.5377,tp,2.5,3.058,0.56,20,2023
